ckpt_filename,validity,uniqueness,diversity,quality,quality2,sample_time,status,gpu_id
"0-118000.ckpt",0.998000,0.948000,0.830,0.801000,0.942000,14.345,OK,6
"0-125000.ckpt",1.000000,0.931000,0.828,0.807000,0.937000,13.443,OK,6
"0-132000.ckpt",1.000000,0.937000,0.827,0.800000,0.934000,13.794,OK,6
"0-14000.ckpt",1.000000,0.966000,0.818,0.864000,0.965000,14.088,OK,6
"0-147000.ckpt",1.000000,0.935000,0.827,0.777000,0.924000,13.842,OK,6
"0-153000.ckpt",1.000000,0.930000,0.827,0.772000,0.923000,13.771,OK,6
"0-160000.ckpt",1.000000,0.933000,0.829,0.765000,0.918000,14.006,OK,6
"0-168000.ckpt",1.000000,0.939000,0.828,0.789000,0.930000,13.973,OK,6
"0-175000.ckpt",1.000000,0.940000,0.828,0.789000,0.918000,14.267,OK,6
"0-182000.ckpt",1.000000,0.935000,0.827,0.780000,0.924000,14.273,OK,6
"0-19000.ckpt",1.000000,0.963000,0.821,0.848000,0.956000,14.097,OK,6
"0-197000.ckpt",1.000000,0.930000,0.834,0.775000,0.928000,13.708,OK,6
"0-21000.ckpt",0.998000,0.954000,0.823,0.825000,0.938000,13.960,OK,6
"0-29000.ckpt",0.998000,0.952000,0.828,0.848000,0.946000,13.607,OK,6
"0-36000.ckpt",0.999000,0.933000,0.831,0.834000,0.935000,13.515,OK,6
"0-43000.ckpt",0.999000,0.929000,0.827,0.818000,0.930000,13.669,OK,6
"0-5000.ckpt",0.999000,0.874000,0.811,0.834000,0.902000,13.570,OK,6
"0-57000.ckpt",0.998000,0.924000,0.831,0.784000,0.922000,13.667,OK,6
"0-64000.ckpt",0.998000,0.921000,0.833,0.769000,0.912000,13.717,OK,6
"0-71000.ckpt",0.996000,0.947000,0.834,0.801000,0.935000,13.835,OK,6
"0-79000.ckpt",0.996000,0.946000,0.832,0.808000,0.928000,14.377,OK,6
"0-86000.ckpt",0.998000,0.930000,0.832,0.785000,0.915000,13.727,OK,6
"0-93000.ckpt",1.000000,0.930000,0.829,0.806000,0.927000,13.813,OK,6
"1-204000.ckpt",0.999000,0.938000,0.828,0.795000,0.943000,13.677,OK,6
"1-212000.ckpt",1.000000,0.936000,0.832,0.772000,0.927000,14.149,OK,6
"1-220000.ckpt",1.000000,0.929000,0.831,0.789000,0.923000,13.775,OK,6
"1-228000.ckpt",1.000000,0.926000,0.828,0.773000,0.920000,14.349,OK,6
"1-236000.ckpt",1.000000,0.927000,0.827,0.777000,0.922000,14.486,OK,6
"1-244000.ckpt",0.999000,0.926000,0.829,0.774000,0.918000,14.088,OK,6
"1-252000.ckpt",1.000000,0.939000,0.828,0.775000,0.919000,14.120,OK,6
"1-260000.ckpt",1.000000,0.934000,0.829,0.782000,0.921000,14.020,OK,6
